region_def,ssp,approach,n,budget_share
r5,SSP1,percapita,r5asia,0.4672904283287195
r5,SSP1,percapita,r5lam,0.07853731907177987
r5,SSP1,percapita,r5maf,0.24969823583671538
r5,SSP1,percapita,r5oecd,0.14919203259848307
r5,SSP1,percapita,r5ref,0.055281984164302106
r5,SSP2,percapita,r5asia,0.46857201027003975
r5,SSP2,percapita,r5lam,0.07970095048550008
r5,SSP2,percapita,r5maf,0.2678864498313962
r5,SSP2,percapita,r5oecd,0.1304803221621915
r5,SSP2,percapita,r5ref,0.05336026725087249
r5,SSP3,percapita,r5asia,0.48064171775597114
r5,SSP3,percapita,r5lam,0.08555863555425428
r5,SSP3,percapita,r5maf,0.2928231550584711
r5,SSP3,percapita,r5oecd,0.09065009504174039
r5,SSP3,percapita,r5ref,0.05032639658956301
r5,SSP4,percapita,r5asia,0.43975469928448147
r5,SSP4,percapita,r5lam,0.07374338105138956
r5,SSP4,percapita,r5maf,0.32077742889012195
r5,SSP4,percapita,r5oecd,0.11763364645478225
r5,SSP4,percapita,r5ref,0.04809084431922465
r5,SSP5,percapita,r5asia,0.4536615185442671
r5,SSP5,percapita,r5lam,0.07385005941813454
r5,SSP5,percapita,r5maf,0.24086931320613364
r5,SSP5,percapita,r5oecd,0.17590533525945803
r5,SSP5,percapita,r5ref,0.055713773572006735
r5,SSP1,gdp_percapita,r5asia,0.1723533670386255
r5,SSP1,gdp_percapita,r5lam,0.19235818753060563
r5,SSP1,gdp_percapita,r5maf,0.11725789585303134
r5,SSP1,gdp_percapita,r5oecd,0.3097230500399878
r5,SSP1,gdp_percapita,r5ref,0.20830749953774988
r5,SSP2,gdp_percapita,r5asia,0.1500872424977051
r5,SSP2,gdp_percapita,r5lam,0.18189348033417518
r5,SSP2,gdp_percapita,r5maf,0.09698234103587154
r5,SSP2,gdp_percapita,r5oecd,0.3476823122234082
r5,SSP2,gdp_percapita,r5ref,0.22335462390883998
r5,SSP3,gdp_percapita,r5asia,0.11605204487144291
r5,SSP3,gdp_percapita,r5lam,0.15402491311308175
r5,SSP3,gdp_percapita,r5maf,0.06880487875133073
r5,SSP3,gdp_percapita,r5oecd,0.4406067547077121
r5,SSP3,gdp_percapita,r5ref,0.22051140855643256
r5,SSP4,gdp_percapita,r5asia,0.1319248940788445
r5,SSP4,gdp_percapita,r5lam,0.1703557186445757
r5,SSP4,gdp_percapita,r5maf,0.05358737788612461
r5,SSP4,gdp_percapita,r5oecd,0.40857478022404703
r5,SSP4,gdp_percapita,r5ref,0.2355572291664081
r5,SSP5,gdp_percapita,r5asia,0.17646612600615658
r5,SSP5,gdp_percapita,r5lam,0.19709060247836932
r5,SSP5,gdp_percapita,r5maf,0.12898976924448327
r5,SSP5,gdp_percapita,r5oecd,0.28726632482127507
r5,SSP5,gdp_percapita,r5ref,0.21018717744971593
r5,SSP1,gdp_percapita_inv,r5asia,0.2105377282467726
r5,SSP1,gdp_percapita_inv,r5lam,0.188642276254661
r5,SSP1,gdp_percapita_inv,r5maf,0.30946219943666425
r5,SSP1,gdp_percapita_inv,r5oecd,0.11715914055253382
r5,SSP1,gdp_percapita_inv,r5ref,0.17419865550936833
r5,SSP2,gdp_percapita_inv,r5asia,0.22339586295366248
r5,SSP2,gdp_percapita_inv,r5lam,0.1843324400330958
r5,SSP2,gdp_percapita_inv,r5maf,0.34572138286194676
r5,SSP2,gdp_percapita_inv,r5oecd,0.09643536031987152
r5,SSP2,gdp_percapita_inv,r5ref,0.15011495383142331
r5,SSP3,gdp_percapita_inv,r5asia,0.23641648287419278
r5,SSP3,gdp_percapita_inv,r5lam,0.17813102909346334
r5,SSP3,gdp_percapita_inv,r5maf,0.3987597504244405
r5,SSP3,gdp_percapita_inv,r5oecd,0.06227007640195013
r5,SSP3,gdp_percapita_inv,r5ref,0.12442266120595319
r5,SSP4,gdp_percapita_inv,r5asia,0.19534231926465442
r5,SSP4,gdp_percapita_inv,r5lam,0.1512747266904029
r5,SSP4,gdp_percapita_inv,r5maf,0.48090643346776113
r5,SSP4,gdp_percapita_inv,r5oecd,0.06307416910063264
r5,SSP4,gdp_percapita_inv,r5ref,0.10940235147654893
r5,SSP5,gdp_percapita_inv,r5asia,0.21198659601286382
r5,SSP5,gdp_percapita_inv,r5lam,0.18980333355938575
r5,SSP5,gdp_percapita_inv,r5maf,0.2900110108168299
r5,SSP5,gdp_percapita_inv,r5oecd,0.1302222019476045
r5,SSP5,gdp_percapita_inv,r5ref,0.177976857663316
r5,SSP1,current_emis_percapita,r5asia,0.14005634625411184
r5,SSP1,current_emis_percapita,r5lam,0.16545944647772987
r5,SSP1,current_emis_percapita,r5maf,0.11171426714215378
r5,SSP1,current_emis_percapita,r5oecd,0.3638861286216332
r5,SSP1,current_emis_percapita,r5ref,0.2188838115043713
r5,SSP2,current_emis_percapita,r5asia,0.13989947725823948
r5,SSP2,current_emis_percapita,r5lam,0.16527604581404648
r5,SSP2,current_emis_percapita,r5maf,0.11118714794566659
r5,SSP2,current_emis_percapita,r5oecd,0.36446643712285537
r5,SSP2,current_emis_percapita,r5ref,0.21917089185919209
r5,SSP3,current_emis_percapita,r5asia,0.1399214975339927
r5,SSP3,current_emis_percapita,r5lam,0.1651508922545415
r5,SSP3,current_emis_percapita,r5maf,0.11016226893103592
r5,SSP3,current_emis_percapita,r5oecd,0.3653197425932763
