"n","ISO"
"rcam","BES"
"rcam","CUW"
"rcam","SXM"
"noan","ESH"
"aut","AUT"
"bel","BEL"
"rfa","DEU"
"dnk","DNK"
"esp","ESP"
"fin","FIN"
"fra","FRA"
"gbr","GBR"
"grc","GRC"
"irl","IRL"
"ita","ITA"
"nld","NLD"
"prt","PRT"
"swe","SWE"
"bgr","BGR"
"rcz","CZE"
"hun","HUN"
"pol","POL"
"rom","ROU"
"rsl","SVK"
"slo","SVN"
"cro","HRV"
"nor","NOR"
"sui","CHE"
"tur","TUR"
"blt","EST"
"blt","LTU"
"blt","LVA"
"oeu","CYP"
"oeu","LUX"
"oeu","MLT"
"oeu","LIE"
"oeu","GRL"
"oeu","ISL"
"oeu","FRO"
"oeu","ALA"
"oeu","AND"
"oeu","GGY"
"oeu","GIB"
"oeu","IMN"
"oeu","JEY"
"oeu","MCO"
"oeu","SJM"
"oeu","SMR"
"oeu","VAT"
"oeu","SPM"
"oeu","BIH"
"oeu","ALB"
"oeu","MKD"
"oeu","MNE"
"oeu","SRB"
"oeu","KSV"
"noap","LBY"
"noap","DZA"
"noan","TUN"
"noan","MAR"
"egy","EGY"
"zaf","ZAF"
"rsaf","AGO"
"rsaf","BEN"
"rsaf","BWA"
"rsaf","BFA"
"rsaf","BDI"
"rsaf","CMR"
"rsaf","CPV"
"rsaf","CAF"
"rsaf","TCD"
"rsaf","COM"
"rsaf","COG"
"rsaf","COD"
"rsaf","CIV"
"rsaf","GNQ"
"rsaf","ERI"
"rsaf","ETH"
"rsaf","GAB"
"rsaf","GMB"
"rsaf","GHA"
"rsaf","GIN"
"rsaf","GNB"
"rsaf","KEN"
"rsaf","LSO"
"rsaf","LBR"
"rsaf","MDG"
"rsaf","MWI"
"rsaf","MLI"
"rsaf","MRT"
"rsaf","MUS"
"rsaf","MYT"
"rsaf","MOZ"
"rsaf","NAM"
"rsaf","NER"
"rsaf","NGA"
"rsaf","REU"
"rsaf","RWA"
"rsaf","STP"
"rsaf","SEN"
"rsaf","SYC"
"rsaf","SHN"
"rsaf","SLE"
"rsaf","SOM"
"rsaf","SSD"
"rsaf","SDN"
"rsaf","SWZ"
"rsaf","TZA"
"rsaf","TGO"
"rsaf","UGA"
"rsaf","ZMB"
"rsaf","ZWE"
"rsaf","DJI"
"rsaf","IOT"
"rsaf","BVT"
"rsaf","ATF"
"meme","ISR"
"meme","JOR"
"meme","SYR"
"meme","LBN"
"meme","PSE"
"golf57","ARE"
"golf57","BHR"
"golf57","IRN"
"golf57","IRQ"
"golf57","KWT"
"golf57","OMN"
"golf57","QAT"
"golf57","SAU"
"golf57","YEM"
"aus","AUS"
"rjan57","CXR"
"rjan57","COK"
"rjan57","HMD"
"rjan57","NFK"
"rjan57","NIU"
"rjan57","NRU"
"rjan57","PCN"
"rjan57","TKL"
"rjan57","TUV"
"rjan57","UMI"
"rjan57","WLF"
"rjan57","FJI"
"rjan57","PNG"
"rjan57","FSM"
"rjan57","GUM"
"rjan57","ASM"
"rjan57","TLS"
"rjan57","PYF"
"rjan57","KIR"
"rjan57","MNP"
"rjan57","MHL"
"rjan57","NCL"
"rjan57","PLW"
"rjan57","WSM"
"rjan57","SLB"
"rjan57","TON"
"rjan57","VUT"
"rjan57","NZL"
"chn","CHN"
"nde","IND"
"mys","MYS"
"tha","THA"
"vnm","VNM"
"jpn","JPN"
"cor","KOR"
"idn","IDN"
"osea","BRN"
"osea","CCK"
"osea","KHM"
"osea","LAO"
"osea","MMR"
"osea","PHL"
"osea","SGP"
"osea","PRK"
"osea","HKG"
"osea","MAC"
"osea","TWN"
"osea","MNG"
"rsas","AFG"
"rsas","BGD"
"rsas","BTN"
"rsas","LKA"
"rsas","MDV"
"rsas","NPL"
"rsas","PAK"
"arg","ARG"
"bra","BRA"
"chl","CHL"
"rsam","BOL"
"rsam","COL"
"rsam","ECU"
"rsam","FLK"
"rsam","GUF"
"rsam","GUY"
"rsam","PER"
"rsam","PRY"
"rsam","SUR"
"rsam","URY"
"rsam","VEN"
"mex","MEX"
"rcam","ABW"
"rcam","BHS"
"rcam","BLZ"
"rcam","BRB"
"rcam","CRI"
"rcam","CUB"
"rcam","DMA"
"rcam","DOM"
"rcam","GRD"
"rcam","GTM"
"rcam","HND"
"rcam","HTI"
"rcam","JAM"
"rcam","LCA"
"rcam","NIC"
"rcam","PAN"
"rcam","SLV"
"rcam","TTO"
"rcam","VCT"
"rcam","ATA"
"rcam","BMU"
"rcam","SGS"
"rcam","TCA"
"rcam","VGB"
"rcam","VIR"
"rcam","AIA"
"rcam","ATG"
"rcam","BLM"
"rcam","CYM"
"rcam","GLP"
"rcam","KNA"
"rcam","MAF"
"rcam","MSR"
"rcam","MTQ"
"rcam","PRI"
"can","CAN"
"usa","USA"
"rus","RUS"
"ukr","UKR"
"ris","ARM"
"ris","AZE"
"ris","BLR"
"ris","GEO"
"ris","KAZ"
"ris","KGZ"
"ris","MDA"
"ris","TJK"
"ris","TKM"
"ris","UZB"

